,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st
15714,4103,2500.0,100.0,,1,1,0
15727,4016,10000.0,10.0,,0,1,0
15735,4007,1600.0,-13.2,,0,1,0
15753,4015,4000.0,12.0,,0,1,0
15759,4011,2000.0,11.5,,1,0,0
15817,4103,4000.0,55.0,,1,0,0
15832,3810,10586.0,-67.6,,0,1,0
15833,3808,24786.0,-39.5,,0,1,0
15867,4104,5400.0,100.0,,1,1,0
15879,4016,3223.0,22.4,,0,1,0
15929,4010,2750.0,32.1,,0,1,0
15971,4107,2000.0,-7.0,,0,1,0
15986,4110,2250.0,34.8,,0,1,0
16016,4012,1786.0,46.5,,0,1,0
16028,4016,2000.0,24.4,,0,1,0
16065,4105,2900.0,-22.2,,0,1,0
16099,3901,4000.0,76.7,,1,1,0
16122,4011,2500.0,47.7,,0,1,0
16141,3902,23652.0,100.0,,1,1,0
16177,4111,5570.0,100.0,,1,1,0
16186,4004,2000.0,31.5,,0,1,0
16226,3810,1275.0,20.4,,0,1,0
16249,4105,5000.0,36.0,,0,1,0
16254,4107,2500.0,42.4,,0,1,0
16316,4110,5200.0,70.0,,0,1,0
16331,4014,4820.0,66.4,,1,1,0
16352,4018,2000.0,7.4,,1,1,0
16465,4104,4280.0,26.0,,0,1,0
16514,4004,2000.0,16.0,,0,1,0
16538,4002,1875.0,93.4,,1,1,0
16542,4016,3492.0,10.0,,0,1,0
16543,4104,20000.0,70.0,,0,1,0
16562,3901,6700.0,55.0,,0,1,0
16578,4104,14993.0,66.0,,0,1,0
16622,4113,4000.0,53.3,,1,1,0
16639,4105,4000.0,76.7,,1,1,0
16657,3807,2600.0,69.0,,0,1,0
16658,4005,4000.0,86.7,,0,1,0
16660,3805,9525.0,-0.4,,0,1,0
16677,4103,4000.0,33.3,,1,1,0
16755,4001,5000.0,33.3,,1,1,0
16775,4108,2310.0,50.0,,0,1,0
16776,3807,4937.0,100.0,,1,0,0
16778,4104,8000.0,48.0,,0,1,0
