,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st,has_disappered,has_lotincreased,has_merged
11963,4008,2000.0,100.0,,1,1,0,0,0,0
11990,3803,2498.0,5.8,,0,0,0,1,0,1
12068,4014,2504.0,-30.4,,0,1,0,1,0,1
12173,4005,1400.0,100.0,,0,0,0,1,0,1
12232,4016,6115.0,47.8,,0,0,0,1,0,1
12272,4106,4000.0,48.9,,1,1,0,0,0,0
12295,4009,9400.0,25.6,,1,1,0,0,1,1
12366,nan,2280.0,100.0,,1,1,0,0,0,0
12397,4011,4240.0,100.0,,0,0,0,1,0,1
12430,3803,2498.0,-7.3,,0,1,0,1,0,1
12458,nan,2863.0,100.0,,1,0,0,0,0,0
12500,3903,9397.0,100.0,,1,1,0,0,0,0
12527,3710,15000.0,-76.1,60.0,0,0,1,1,0,1
12545,nan,1911.0,3.7,,0,1,0,1,0,1
12552,3903,8811.0,73.3,,1,1,0,0,0,0
12558,nan,1620.0,100.0,,0,0,0,1,0,1
12613,4104,5200.0,54.0,,1,1,0,0,0,0
12644,nan,3100.0,100.0,,1,1,0,0,0,0
12659,nan,2632.0,-33.3,,1,0,0,0,0,0
12669,4017,7733.0,52.0,,1,1,0,0,0,0
12709,4109,4994.0,89.2,,0,0,0,1,0,1
12719,nan,5062.0,17.8,,1,0,0,0,0,0
12741,4008,3000.0,100.0,,1,1,0,0,0,0
12760,4006,709.0,100.0,,1,1,0,0,0,0
12791,4001,1925.0,-67.9,,0,1,0,0,1,1
12797,4002,2500.0,100.0,,0,0,0,1,0,1
12800,4113,6550.0,-6.7,,0,1,0,1,0,1
12823,4001,2208.0,62.0,,1,1,0,0,1,1
12913,3705,825.0,20.6,,0,0,0,0,1,1
12924,4006,2040.0,100.0,,0,0,0,1,0,1
12979,nan,3463.0,100.0,,1,1,0,0,0,0
12981,4012,5008.0,73.5,,0,0,0,0,1,1
12984,4001,2500.0,-50.6,,0,0,0,1,0,1
13051,4106,4000.0,67.0,,0,0,0,1,0,1
13144,4102,3551.0,34.5,,0,0,0,1,0,1
13151,4101,2731.0,28.9,,0,0,0,1,0,1
13226,3803,5046.0,-48.5,16.0,0,0,1,1,0,1
13228,4005,2500.0,100.0,,0,1,0,1,0,1
13252,nan,2548.0,100.0,,1,0,0,0,0,0
13313,4005,2827.0,73.0,,0,0,0,1,0,1
13344,nan,10000.0,100.0,,0,0,0,0,1,1
13350,4106,3960.0,86.4,,0,1,0,1,0,1
13448,4103,5625.0,28.0,,0,0,0,1,0,1
13485,4109,24000.0,85.0,,0,1,0,1,0,1
13579,4001,2110.0,66.7,,0,0,0,1,0,1
13581,4016,3364.0,51.1,,1,1,0,0,0,0
13680,4018,1750.0,-24.8,,1,1,0,0,0,0
13681,4103,3125.0,100.0,,1,1,0,0,0,0
13862,4016,4200.0,100.0,,0,1,0,1,0,1
13900,4103,3963.0,50.0,,1,1,0,0,0,0
14014,3810,1857.0,21.2,,1,1,0,0,0,0
14019,4004,1520.0,0.0,,0,0,0,1,0,1
14033,3803,1749.0,100.0,,0,0,0,0,1,1
14121,3708,7500.0,86.9,,1,1,0,0,0,0
14122,nan,3820.0,100.0,,1,1,0,0,0,0
14267,4107,5000.0,77.6,,1,0,0,0,0,0
14333,3807,4899.0,31.8,4.0,0,0,1,1,0,1
14351,3708,2501.0,70.9,,0,1,0,1,0,1
14405,3806,2518.0,27.4,6.0,0,0,1,1,0,1
14446,4103,8000.0,26.0,,1,1,0,0,0,0
14459,3706,3019.0,73.8,,1,1,0,0,1,1
14474,4016,3500.0,71.2,,1,1,0,0,0,0
14499,3802,12490.0,83.3,,0,0,0,0,1,1
14504,3708,4375.0,100.0,,1,1,0,0,0,0
14517,4012,4540.0,100.0,,0,1,0,1,0,1
14554,4103,4085.0,55.0,,1,1,0,0,0,0
14567,4008,5000.0,87.2,,1,1,0,0,0,0
14610,4018,1489.0,-75.2,,0,0,0,1,0,1
14618,nan,15000.0,100.0,,0,0,0,1,0,1
14645,3903,2715.0,100.0,,1,1,0,0,0,0
14679,4105,6000.0,46.7,,1,0,0,0,0,0
14691,4009,3146.0,-26.7,,1,0,0,0,0,0
14763,4003,3050.0,100.0,,0,0,0,1,0,1
14764,4004,1200.0,100.0,,1,1,0,0,0,0
14789,4108,6242.0,100.0,,1,1,0,0,0,0
14827,3902,3720.0,53.3,,1,1,0,0,0,0
14837,4011,2000.0,84.0,,0,0,0,1,0,1
14851,4109,5014.0,97.8,,1,1,0,0,1,1
14870,4004,3167.0,61.7,,1,1,0,0,0,0
14880,4018,1958.0,100.0,,0,0,0,1,0,1
14888,4101,2500.0,68.0,,1,1,0,0,0,0
14963,4104,5000.0,40.0,,1,1,0,0,0,0
14978,4103,8200.0,40.0,,1,1,0,0,0,0
15012,3901,3807.0,100.0,,1,1,0,0,0,0
15041,3801,2500.0,100.0,,0,0,0,1,0,1
15076,4014,2504.0,-76.0,,1,0,0,0,0,0
15077,4103,3375.0,100.0,,1,1,0,0,0,0
15106,3705,585.0,85.7,,0,0,0,1,0,1
15141,4102,2678.0,43.5,,1,1,0,0,0,0
15147,4109,5000.0,79.9,,0,0,0,1,0,1
15186,3903,5000.0,-48.3,,1,1,0,0,0,0
15215,3807,2469.0,100.0,346.0,1,1,1,0,1,1
15258,4004,1800.0,-12.5,,0,0,0,1,0,1
15364,4001,5912.0,70.8,,1,1,0,0,1,1
15379,4106,7200.0,100.0,,1,1,0,0,0,0
15388,nan,7710.0,100.0,,0,0,0,1,0,1
15408,4109,2500.0,16.8,,0,1,0,1,0,1
15484,4105,6000.0,54.0,,1,1,0,0,0,0
15488,nan,10890.0,100.0,,0,0,0,0,1,1
15545,nan,2500.0,100.0,,0,0,0,1,0,1
15577,4105,1670.0,-90.0,,0,0,0,0,1,1
15607,4001,3450.0,81.5,,1,1,0,0,0,0
15663,4001,2500.0,-15.2,,0,0,0,1,0,1
15664,4113,3450.0,20.0,,1,1,0,0,0,0
15703,3807,2510.0,68.8,,0,0,0,0,1,1
15708,3803,1873.0,100.0,,1,1,0,0,0,0
15714,4103,2500.0,100.0,,1,1,0,0,1,1
15759,4011,2000.0,11.5,,1,0,0,0,0,0
15802,3807,1525.0,58.6,4.0,0,0,1,0,1,1
15817,4103,4000.0,55.0,,1,0,0,0,0,0
15842,3705,5380.0,100.0,,0,0,0,1,0,1
15867,4104,5400.0,100.0,,1,1,0,0,0,0
15914,4002,2500.0,-95.0,,0,0,0,1,0,1
15932,nan,3100.0,100.0,,0,0,0,1,0,1
15981,4103,54500.0,100.0,,0,0,0,1,0,1
15995,nan,1911.0,3.7,,0,1,0,1,0,1
16099,3901,4000.0,76.7,,1,1,0,0,0,0
16141,3902,23652.0,100.0,,1,1,0,0,0,0
16177,4111,5570.0,100.0,,1,1,0,0,0,0
16195,nan,5120.0,100.0,,0,0,0,0,1,1
16282,3810,563.0,-46.8,,0,0,0,0,1,1
16316,4110,5200.0,70.0,,0,1,0,1,0,1
16329,3903,1000.0,100.0,,0,0,0,1,0,1
16331,4014,4820.0,66.4,,1,1,0,0,0,0
16352,4018,2000.0,7.4,,1,1,0,0,0,0
16408,4012,2012.0,41.2,,0,0,0,1,0,1
16482,nan,1141.0,-8.0,,1,0,0,0,0,0
16496,nan,1474.0,100.0,,0,0,0,1,0,1
16526,4010,10000.0,0.0,,0,0,0,1,0,1
16538,4002,1875.0,93.4,,1,1,0,0,0,0
16614,3810,2453.0,49.4,,0,0,0,1,0,1
